Rk,Player,CleanPlayer,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Goalsper90,Assistper90,G+A,G-PKper90,G+A-PK,xG,npxG,xA,npxG+xA,xGoalsper90,xAssistper90,xG+xA,npxGper90,npxG+xAper90,TransferMarketvalue
14,Rúnar Alex Rúnarsson,Runar Alex Runarsson,is ISL,GK,Arsenal,26-036,1995,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1980000
32,Pierre-Emerick Aubameyang,Pierre Emerick Aubameyang,ga GAB,FW,Arsenal,31-281,1989,24,21,1933,21.5,9,1,7,2,2,2,0,0.42,0.05,0.47,0.33,0.37,9,7.4,1.6,9.1,0.42,0.08,0.49,0.35,0.42,38500000
53,Héctor Bellerín,Hector Bellerin,es ESP,DF,Arsenal,26-007,1995,22,22,1910,21.2,1,2,1,0,0,8,0,0.05,0.09,0.14,0.05,0.14,0.6,0.6,2.3,2.9,0.03,0.11,0.14,0.03,0.14,27500000
89,Dani Ceballos,Dani Ceballos,es ESP,MF,Arsenal,24-231,1996,19,11,1123,12.5,0,2,0,0,0,3,0,0,0.16,0.16,0,0.16,0.3,0.3,2.2,2.5,0.02,0.17,0.2,0.02,0.2,33000000
90,Calum Chambers,Calum Chambers,eng ENG,DF,Arsenal,26-065,1995,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,0.04,0.25,0.29,0.04,0.29,13200000
128,Gabriel Dos Santos,Gabriel Dos Santos,br BRA,DF,Arsenal,23-097,1997,16,15,1366,15.2,2,0,2,0,0,3,1,0.13,0,0.13,0.13,0.13,0.8,0.8,0,0.8,0.05,0,0.05,0.05,0.05,27500000
138,Mohamed Elneny,Mohamed Elneny,eg EGY,MF,Arsenal,28-258,1992,16,12,1076,12,0,0,0,0,0,2,0,0,0,0,0,0,0.4,0.4,0.2,0.5,0.03,0.01,0.05,0.03,0.05,11000000
195,Rob Holding,Rob Holding,eng ENG,DF,Arsenal,25-187,1995,22,20,1838,20.4,0,1,0,0,0,2,0,0,0.05,0.05,0,0.05,1.1,1.1,0.2,1.4,0.06,0.01,0.07,0.06,0.07,17600000
242,Alexandre Lacazette,Alexandre Lacazette,fr FRA,FW,Arsenal,29-302,1991,25,19,1621,18,11,2,8,3,3,3,0,0.61,0.11,0.72,0.44,0.56,8.6,6.3,2.3,8.6,0.48,0.13,0.61,0.35,0.48,38500000
251,Bernd Leno,Bernd Leno,de GER,GK,Arsenal,29-022,1992,28,28,2501,27.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27500000
269,David Luiz,David Luiz,br BRA,DF,Arsenal,33-338,1987,19,16,1344,14.9,1,0,1,0,0,1,1,0.07,0,0.07,0.07,0.07,0.8,0.8,0.4,1.3,0.06,0.03,0.09,0.06,0.09,5500000
276,Ainsley Maitland-Niles,Ainsley Maitland Niles,eng ENG,DF,Arsenal,23-209,1997,11,5,490,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.02,0.04,0.06,0.02,0.06,
283,Pablo Marí,Pablo Mari,es ESP,DF,Arsenal,27-207,1993,7,7,630,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,7700000
285,Martinelli,Martinelli,br BRA,FW,Arsenal,19-281,2001,6,3,219,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0,0.8,0.31,0.01,0.32,0.31,0.32,24200000
328,Reiss Nelson,Reiss Nelson,eng ENG,FW,Arsenal,21-106,1999,2,0,71,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0.06,0.06,11000000
331,Eddie Nketiah,Eddie Nketiah,eng ENG,FW,Arsenal,21-300,1999,14,3,327,3.6,1,1,1,0,0,0,0,0.28,0.28,0.55,0.28,0.55,1.2,1.2,0.6,1.8,0.32,0.16,0.48,0.32,0.48,19800000
348,Thomas Partey,Thomas Partey,gh GHA,MF,Arsenal,27-286,1993,15,12,963,10.7,0,1,0,0,0,3,0,0,0.09,0.09,0,0.09,0.8,0.8,0.6,1.4,0.07,0.05,0.13,0.07,0.13,49500000
352,Nicolas Pépé,Nicolas Pepe,ci CIV,FW,Arsenal,25-301,1995,21,10,1057,11.7,5,1,4,1,1,1,1,0.43,0.09,0.51,0.34,0.43,5.1,4.3,0.6,4.9,0.43,0.05,0.48,0.37,0.42,41800000
397,Mathew Ryan,Mathew Ryan,au AUS,GK,Arsenal,28-352,1992,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6600000
401,Bukayo Saka,Bukayo Saka,eng ENG,FWDF,Arsenal,19-202,2001,25,24,2069,23,5,2,5,0,0,1,0,0.22,0.09,0.3,0.22,0.3,6.5,6.5,3.8,10.3,0.28,0.17,0.45,0.28,0.45,66000000
427,Emile Smith-Rowe,Emile Smith Rowe,eng ENG,MFFW,Arsenal,20-241,2000,14,12,945,10.5,0,4,0,0,0,0,0,0,0.38,0.38,0,0.38,1,1,2.4,3.4,0.1,0.23,0.32,0.1,0.32,14300000
430,Cédric Soares,Cedric Soares,pt POR,DF,Arsenal,29-207,1991,9,8,700,7.8,0,1,0,0,0,1,0,0,0.13,0.13,0,0.13,0.2,0.2,0.9,1.1,0.02,0.11,0.14,0.02,0.14,6600000
453,Kieran Tierney,Kieran Tierney,sco SCO,DF,Arsenal,23-294,1997,22,22,1970,21.9,1,2,1,0,0,4,0,0.05,0.09,0.14,0.05,0.14,0.4,0.4,3.7,4.1,0.02,0.17,0.19,0.02,0.19,33000000
495,Willian,Willian,br BRA,FWMF,Arsenal,32-229,1988,21,14,1196,13.3,0,5,0,0,0,0,0,0,0.38,0.38,0,0.38,1.9,1.9,2,3.9,0.14,0.15,0.29,0.14,0.29,13200000
496,Joe Willock,Joe Willock,eng ENG,MF,Arsenal,21-218,1999,7,2,238,2.6,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0,0.5,0.17,0.02,0.18,0.17,0.18,
501,Granit Xhaka,Granit Xhaka,ch SUI,MF,Arsenal,28-180,1992,25,24,2059,22.9,1,2,1,0,0,6,1,0.04,0.09,0.13,0.04,0.13,0.7,0.7,1.3,2,0.03,0.06,0.09,0.03,0.09,24200000
511,Martin Ødegaard,Martin Odegaard,no NOR,MF,Arsenal,22-099,1998,8,5,474,5.3,1,0,1,0,0,0,0,0.19,0,0.19,0.19,0.19,0.8,0.8,0.8,1.6,0.15,0.15,0.3,0.15,0.3,44000000
45,Ross Barkley,Ross Barkley,eng ENG,MF,Aston Villa,27-111,1993,18,14,1167,13,3,1,3,0,0,0,0,0.23,0.08,0.31,0.23,0.31,3,3,3.1,6,0.23,0.24,0.47,0.23,0.47,
83,Matty Cash,Matty Cash,eng ENG,DF,Aston Villa,23-231,1997,22,22,1912,21.2,0,2,0,0,0,6,0,0,0.09,0.09,0,0.09,0.3,0.3,1.7,2,0.01,0.08,0.09,0.01,0.09,
110,Keinan Davis,Keinan Davis,eng ENG,FW,Aston Villa,23-041,1998,8,0,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0.35,0.11,0.46,0.35,0.46,
137,Ahmed Elmohamady,Ahmed Elmohamady,eg EGY,DF,Aston Villa,33-198,1987,11,6,613,6.8,0,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0.5,0.8,0.04,0.08,0.12,0.04,0.12,
163,Anwar El Ghazi,Anwar El Ghazi,nl NED,FW,Aston Villa,25-327,1995,18,9,913,10.1,6,0,4,2,2,1,0,0.59,0,0.59,0.39,0.39,4.8,3.3,1.7,5,0.47,0.17,0.64,0.32,0.49,
174,Jack Grealish,Jack Grealish,eng ENG,FWMF,Aston Villa,25-197,1995,22,22,1977,22,6,10,6,0,0,6,0,0.27,0.46,0.73,0.27,0.73,4.2,4.2,8.1,12.2,0.19,0.37,0.56,0.19,0.56,
184,Kortney Hause,Kortney Hause,eng ENG,DF,Aston Villa,25-253,1995,4,4,360,4,1,0,1,0,0,1,0,0.25,0,0.25,0.25,0.25,1.1,1.1,0,1.1,0.27,0,0.27,0.27,0.27,
197,Conor Hourihane,Conor Hourihane,ie IRL,MF,Aston Villa,30-052,1991,4,3,225,2.5,1,1,1,0,0,0,0,0.4,0.4,0.8,0.4,0.8,0.5,0.5,0.8,1.3,0.2,0.32,0.52,0.2,0.52,
237,Ezri Konsa,Ezri Konsa,eng ENG,DF,Aston Villa,23-154,1997,26,25,2296,25.5,2,0,2,0,0,2,0,0.08,0,0.08,0.08,0.08,1.4,1.4,0,1.4,0.05,0,0.05,0.05,0.05,
270,Douglas Luiz,Douglas Luiz,br BRA,MF,Aston Villa,22-321,1998,24,24,2099,23.3,0,2,0,0,0,7,1,0,0.09,0.09,0,0.09,1.2,1.2,1.2,2.4,0.05,0.05,0.1,0.05,0.1,
286,Emiliano Martínez,Emiliano Martinez,ar ARG,GK,Aston Villa,28-205,1992,28,28,2520,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.01,0.01,0,0.01,
297,John McGinn,John McGinn,sco SCO,MF,Aston Villa,26-159,1994,27,27,2430,27,1,4,1,0,0,7,0,0.04,0.15,0.19,0.04,0.19,1.6,1.6,2.2,3.9,0.06,0.08,0.14,0.06,0.14,
311,Tyrone Mings,Tyrone Mings,eng ENG,DF,Aston Villa,28-013,1993,27,27,2384,26.5,2,1,2,0,0,6,1,0.08,0.04,0.11,0.08,0.11,1.7,1.7,0.5,2.2,0.06,0.02,0.08,0.06,0.08,
324,Marvelous Nakamba,Marvelous Nakamba,zw ZIM,MF,Aston Villa,27-066,1994,9,5,444,4.9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.1,0.01,0.01,0.02,0.01,0.02,
368,Jacob Ramsey,Jacob Ramsey,eng ENG,MF,Aston Villa,19-302,2001,13,4,391,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.4,0.05,0.03,0.08,0.05,0.08,
407,Morgan Sanson,Morgan Sanson,fr FRA,MF,Aston Villa,26-220,1994,8,2,228,2.5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.1,0.2,0,0.06,0.06,0,0.06,
441,Matt Targett,Matt Targett,eng ENG,DF,Aston Villa,25-189,1995,28,28,2504,27.8,0,1,0,0,0,6,0,0,0.04,0.04,0,0.04,0.2,0.2,1.8,2,0.01,0.06,0.07,0.01,0.07,
446,Neil Taylor,Neil Taylor,wal WAL,DF,Aston Villa,32-047,1989,1,0,16,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
461,Bertrand Traoré,Bertrand Traore,bf BFA,FW,Aston Villa,25-201,1995,26,19,1525,16.9,5,3,5,0,0,0,0,0.3,0.18,0.47,0.3,0.47,4.8,4.8,1.4,6.2,0.28,0.08,0.37,0.28,0.37,
462,Trézéguet,Trezeguet,eg EGY,FW,Aston Villa,26-176,1994,19,11,1056,11.7,0,1,0,0,0,0,0,0,0.09,0.09,0,0.09,3,3,2,5,0.25,0.17,0.42,0.25,0.42,
484,Ollie Watkins,Ollie Watkins,eng ENG,FW,Aston Villa,25-086,1995,28,28,2520,28,10,3,9,1,2,1,0,0.36,0.11,0.46,0.32,0.43,12.1,10.6,2.9,13.5,0.43,0.1,0.54,0.38,0.48,
22,Steven Alzate,Steven Alzate,co COL,MFDF,Brighton,22-199,1998,12,8,741,8.2,1,0,1,0,0,2,0,0.12,0,0.12,0.12,0.12,0.6,0.6,0.4,1,0.07,0.05,0.12,0.07,0.12,
61,Bernardo,Bernardo,br BRA,DFMF,Brighton,25-316,1995,3,2,206,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,0.13,0.09,0.22,0.13,0.22,
63,Yves Bissouma,Yves Bissouma,ml MLI,MF,Brighton,24-208,1996,27,26,2302,25.6,1,0,1,0,0,6,1,0.04,0,0.04,0.04,0.04,0.7,0.7,0.4,1.1,0.03,0.01,0.04,0.03,0.04,
73,Dan Burn,Dan Burn,eng ENG,DF,Brighton,28-321,1992,20,17,1517,16.9,0,0,0,0,0,5,0,0,0,0,0,0,0.9,0.9,0.8,1.7,0.06,0.05,0.1,0.06,0.1,
98,Aaron Connolly,Aaron Connolly,ie IRL,FW,Brighton,21-057,2000,15,9,722,8,2,1,2,0,0,0,0,0.25,0.12,0.37,0.25,0.37,3.3,3.3,0.2,3.5,0.41,0.02,0.43,0.41,0.43,
132,Lewis Dunk,Lewis Dunk,eng ENG,DF,Brighton,29-125,1991,26,26,2339,26,4,0,4,0,0,4,1,0.15,0,0.15,0.15,0.15,2.2,2.2,0.6,2.8,0.09,0.02,0.11,0.09,0.11,
176,Pascal Groß,Pascal Gross,de GER,MF,Brighton,29-284,1991,25,18,1698,18.9,2,6,0,2,3,1,0,0.11,0.32,0.42,0,0.32,4.4,2.2,4.6,6.8,0.24,0.24,0.48,0.11,0.36,
207,Alireza Jahanbakhsh,Alireza Jahanbakhsh,ir IRN,FWMF,Brighton,27-227,1993,13,2,264,2.9,0,1,0,0,0,2,0,0,0.34,0.34,0,0.34,1.2,1.2,1.8,3,0.39,0.62,1.01,0.39,1.01,
231,Reda Khadra,Reda Khadra,de GER,FW,Brighton,19-265,2001,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
243,Adam Lallana,Adam Lallana,eng ENG,MFFW,Brighton,32-320,1988,23,13,1187,13.2,1,1,1,0,0,0,0,0.08,0.08,0.15,0.08,0.15,1.7,1.7,2.6,4.4,0.13,0.2,0.33,0.13,0.33,
245,Tariq Lamptey,Tariq Lamptey,eng ENG,DF,Brighton,20-177,2000,11,11,886,9.8,1,1,1,0,0,4,1,0.1,0.1,0.2,0.1,0.2,0.6,0.6,1.1,1.7,0.06,0.11,0.17,0.06,0.17,
272,Alexis Mac Allister,Alexis Mac Allister,ar ARG,MFFW,Brighton,22-092,1998,15,10,825,9.2,1,1,1,0,0,1,0,0.11,0.11,0.22,0.11,0.22,0.9,0.9,1.9,2.8,0.1,0.21,0.31,0.1,0.31,
282,Solly March,Solly March,eng ENG,DF,Brighton,26-249,1994,21,19,1672,18.6,2,1,2,0,0,0,0,0.11,0.05,0.16,0.11,0.16,1.7,1.7,1.7,3.4,0.09,0.09,0.18,0.09,0.18,
292,Neal Maupay,Neal Maupay,fr FRA,FWMF,Brighton,24-224,1996,27,24,2050,22.8,8,2,5,3,4,1,0,0.35,0.09,0.44,0.22,0.31,10.7,7.7,3,10.7,0.47,0.13,0.6,0.34,0.47,
314,Jakub Moder,Jakub Moder,pl POL,DF,Brighton,21-353,1999,3,1,100,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,0.33,0,0.33,0.33,0.33,
315,Jayson Molumby,Jayson Molumby,ie IRL,MF,Brighton,21-232,1999,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
365,Davy Pröpper,Davy Propper,nl NED,MF,Brighton,29-205,1991,7,2,213,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.04,0,0.04,0.04,0.04,
398,Mathew Ryan,Mathew Ryan,au AUS,GK,Brighton,28-352,1992,11,11,990,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
406,Robert Sánchez,Robert Sanchez,es ESP,GK,Brighton,23-128,1997,18,18,1620,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
443,Percy Tau,Percy Tau,za RSA,FWMF,Brighton,26-317,1994,2,1,85,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02,
463,Leandro Trossard,Leandro Trossard,be BEL,FWMF,Brighton,26-112,1994,26,22,1989,22.1,4,5,4,0,0,2,0,0.18,0.23,0.41,0.18,0.41,4.2,4.2,3.8,8,0.19,0.17,0.36,0.19,0.36,
469,Joël Veltman,Joel Veltman,nl NED,DF,Brighton,29-070,1992,23,20,1831,20.3,1,1,1,0,0,3,0,0.05,0.05,0.1,0.05,0.1,1.1,1.1,1,2.1,0.06,0.05,0.1,0.06,0.1,
486,Adam Webster,Adam Webster,eng ENG,DF,Brighton,26-081,1995,22,22,1964,21.8,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0.2,1.2,0.05,0.01,0.06,0.05,0.06,
487,Danny Welbeck,Danny Welbeck,eng ENG,FW,Brighton,30-120,1990,16,9,906,10.1,3,1,3,0,1,0,0,0.3,0.1,0.4,0.3,0.4,4.4,3.7,1.2,4.9,0.44,0.12,0.56,0.36,0.48,
490,Ben White,Ben White,eng ENG,DFMF,Brighton,23-169,1997,28,28,2472,27.5,0,0,0,0,0,2,0,0,0,0,0,0,0.4,0.4,0.5,0.9,0.02,0.02,0.03,0.02,0.03,
507,Andi Zeqiri,Andi Zeqiri,ch SUI,DFFW,Brighton,21-277,1999,5,0,121,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.26,0,0.26,0.26,0.26,
43,Phil Bardsley,Phil Bardsley,sco SCO,DF,Burnley,35-271,1985,4,3,274,3,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.1,0.04,0,0.04,0.04,0.04,
46,Ashley Barnes,Ashley Barnes,eng ENG,FW,Burnley,31-147,1989,18,15,1293,14.4,3,0,2,1,1,4,0,0.21,0,0.21,0.14,0.14,4.9,4.1,0.7,4.8,0.34,0.05,0.39,0.29,0.33,
55,Josh Benson,Josh Benson,eng ENG,MF,Burnley,21-111,1999,6,2,264,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.06,0,0.06,0.06,0.06,
57,Jóhann Berg Guðmundsson,Johann Berg Gudmundsson,is ISL,MF,Burnley,30-150,1990,15,11,883,9.8,2,0,2,0,0,1,0,0.2,0,0.2,0.2,0.2,1.5,1.5,0.3,1.8,0.15,0.03,0.18,0.15,0.18,
67,Robbie Brady,Robbie Brady,ie IRL,MF,Burnley,29-071,1992,19,12,1052,11.7,1,1,1,0,0,3,0,0.09,0.09,0.17,0.09,0.17,0.8,0.8,0.9,1.7,0.07,0.08,0.15,0.07,0.15,
69,Josh Brownhill,Josh Brownhill,eng ENG,MF,Burnley,25-097,1995,24,23,2051,22.8,0,0,0,0,0,1,0,0,0,0,0,0,1.2,1.2,0.8,1.9,0.05,0.03,0.08,0.05,0.08,
100,Jack Cork,Jack Cork,eng ENG,MF,Burnley,31-274,1989,9,8,735,8.2,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.2,0.4,0.03,0.02,0.05,0.03,0.05,
133,Jimmy Dunne,Jimmy Dunne,ie IRL,DF,Burnley,23-158,1997,2,2,180,2,1,0,1,0,0,0,0,0.5,0,0.5,0.5,0.5,0.3,0.3,0.1,0.4,0.13,0.05,0.19,0.13,0.19,
262,Kevin Long,Kevin Long,ie IRL,DF,Burnley,30-220,1990,8,7,637,7.1,0,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0,0.3,0.04,0,0.04,0.04,0.04,
268,Matthew Lowton,Matthew Lowton,eng ENG,DF,Burnley,31-290,1989,25,25,2250,25,1,0,1,0,0,4,0,0.04,0,0.04,0.04,0.04,0.4,0.4,1.4,1.9,0.02,0.06,0.08,0.02,0.08,
299,Dwight McNeil,Dwight McNeil,eng ENG,MF,Burnley,21-124,1999,27,25,2317,25.7,2,3,2,0,0,1,0,0.08,0.12,0.19,0.08,0.19,0.8,0.8,4.2,5.1,0.03,0.16,0.2,0.03,0.2,
301,Ben Mee,Ben Mee,eng ENG,DF,Burnley,31-184,1989,22,22,1973,21.9,2,0,2,0,0,2,0,0.09,0,0.09,0.09,0.09,1.3,1.3,0.1,1.4,0.06,0.01,0.07,0.06,0.07,
321,Joel Mumbongo,Joel Mumbongo,se SWE,FW,Burnley,22-076,1999,3,0,39,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
350,Bailey Peacock-Farrell,Bailey Peacock Farrell,nir NIR,GK,Burnley,24-148,1996,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
360,Erik Pieters,Erik Pieters,nl NED,DFMF,Burnley,32-231,1988,18,11,1144,12.7,0,1,0,0,0,1,0,0,0.08,0.08,0,0.08,0.2,0.2,0.4,0.5,0.01,0.03,0.04,0.01,0.04,
363,Nick Pope,Nick Pope,eng ENG,GK,Burnley,28-341,1992,28,28,2520,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.4,0.4,0,0.01,0.01,0,0.01,
378,Lewis Richardson,Lewis Richardson,eng ENG,FW,Burnley,18-047,2003,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
393,Jay Rodriguez,Jay Rodriguez,eng ENG,FWMF,Burnley,31-240,1989,24,12,1130,12.6,1,2,1,0,0,3,0,0.08,0.16,0.24,0.08,0.24,1.5,1.5,1.2,2.8,0.12,0.1,0.22,0.12,0.22,
434,Dale Stephens,Dale Stephens,eng ENG,MF,Burnley,31-287,1989,7,3,261,2.9,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,0.06,0,0.06,0.06,0.06,
442,James Tarkowski,James Tarkowski,eng ENG,DF,Burnley,28-127,1992,27,27,2430,27,0,0,0,0,0,4,0,0,0,0,0,0,1.6,1.6,0.5,2.1,0.06,0.02,0.08,0.06,0.08,
445,Charlie Taylor,Charlie Taylor,eng ENG,DF,Burnley,27-189,1993,21,21,1738,19.3,0,1,0,0,0,1,0,0,0.05,0.05,0,0.05,0.1,0.1,0.8,0.9,0,0.04,0.05,0,0.05,
476,Matěj Vydra,Matej Vydra,cz CZE,FW,Burnley,28-329,1992,19,9,879,9.8,1,1,1,0,0,0,0,0.1,0.1,0.2,0.1,0.2,3.4,3.4,1.1,4.5,0.35,0.11,0.46,0.35,0.46,
489,Ashley Westwood,Ashley Westwood,eng ENG,MF,Burnley,30-359,1990,29,29,2600,28.9,1,2,1,0,0,6,0,0.03,0.07,0.1,0.03,0.1,0.4,0.4,4.1,4.5,0.01,0.14,0.16,0.01,0.16,
500,Chris Wood,Chris Wood,nz NZL,FW,Burnley,29-109,1991,24,23,1967,21.9,6,0,6,0,0,0,0,0.27,0,0.27,0.27,0.27,7.8,7.8,1,8.8,0.36,0.05,0.4,0.36,0.4,
2,Tammy Abraham,Tammy Abraham,eng ENG,FW,Chelsea,23-175,1997,20,12,1021,11.3,6,1,6,0,0,0,0,0.53,0.09,0.62,0.53,0.62,5.6,5.6,0.9,6.5,0.49,0.08,0.57,0.49,0.57,44000000
21,Marcos Alonso,Marcos Alonso,es ESP,DF,Chelsea,30-088,1990,9,8,704,7.8,1,0,1,0,0,2,0,0.13,0,0.13,0.13,0.13,1,1,1.1,2.1,0.13,0.14,0.26,0.13,0.26,14300000
31,Kepa Arrizabalaga,Kepa Arrizabalaga,es ESP,GK,Chelsea,26-174,1994,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14300000
37,César Azpilicueta,Cesar Azpilicueta,es ESP,DF,Chelsea,31-210,1989,19,17,1581,17.6,1,1,1,0,0,4,0,0.06,0.06,0.11,0.06,0.11,0.8,0.8,1.8,2.5,0.04,0.1,0.14,0.04,0.14,18700000
76,Willy Caballero,Willy Caballero,ar ARG,GK,Chelsea,39-179,1981,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330000
91,Ben Chilwell,Ben Chilwell,eng ENG,DF,Chelsea,24-095,1996,21,21,1756,19.5,2,4,2,0,0,3,0,0.1,0.21,0.31,0.1,0.31,1.6,1.6,1.5,3,0.08,0.08,0.16,0.08,0.16,55000000
93,Andreas Christensen,Andreas Christensen,dk DEN,DF,Chelsea,24-350,1996,12,11,999,11.1,0,0,0,0,0,1,1,0,0,0,0,0,0.1,0.1,0.3,0.3,0,0.03,0.03,0,0.03,30800000
166,Billy Gilmour,Billy Gilmour,sco SCO,MF,Chelsea,19-288,2001,2,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7700000
167,Olivier Giroud,Olivier Giroud,fr FRA,FW,Chelsea,34-177,1986,14,8,707,7.9,4,0,4,0,0,1,0,0.51,0,0.51,0.51,0.51,3.9,3.9,0.7,4.6,0.49,0.09,0.58,0.49,0.58,5500000
185,Kai Havertz,Kai Havertz,de GER,MFFW,Chelsea,21-288,1999,21,14,1166,13,1,2,1,0,0,2,0,0.08,0.15,0.23,0.08,0.23,3,3,1.3,4.3,0.23,0.1,0.33,0.23,0.33,77000000
198,Callum Hudson-Odoi,Callum Hudson Odoi,eng ENG,FWDF,Chelsea,20-139,2000,19,9,900,10,2,2,2,0,0,0,0,0.2,0.2,0.4,0.2,0.4,1.2,1.2,2.3,3.5,0.12,0.23,0.35,0.12,0.35,38500000
209,Reece James,Reece James,eng ENG,DF,Chelsea,21-108,1999,23,18,1723,19.1,1,2,1,0,0,3,0,0.05,0.1,0.16,0.05,0.16,1.2,1.2,2.3,3.5,0.06,0.12,0.18,0.06,0.18,44000000
217,Jorginho,Jorginho,it ITA,MF,Chelsea,29-096,1991,20,16,1437,16,6,1,0,6,8,0,0,0.38,0.06,0.44,0,0.06,6.2,0.1,1.4,1.6,0.39,0.09,0.48,0.01,0.1,49500000
224,N'Golo Kanté,NGolo Kante,fr FRA,MF,Chelsea,29-362,1991,25,21,1903,21.1,0,2,0,0,0,6,0,0,0.09,0.09,0,0.09,0.8,0.8,1.1,1.9,0.04,0.05,0.09,0.04,0.09,60500000
239,Mateo Kovačić,Mateo Kovacic,hr CRO,MF,Chelsea,26-324,1994,23,18,1519,16.9,0,1,0,0,0,2,0,0,0.06,0.06,0,0.06,0.8,0.8,1.4,2.2,0.05,0.08,0.13,0.05,0.13,49500000
303,Edouard Mendy,Edouard Mendy,sn SEN,GK,Chelsea,29-025,1992,24,24,2160,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27500000
317,Mason Mount,Mason Mount,eng ENG,MFFW,Chelsea,22-075,1999,28,25,2230,24.8,5,3,4,1,1,2,0,0.2,0.12,0.32,0.16,0.28,4.2,3.5,5.5,8.9,0.17,0.22,0.39,0.14,0.36,66000000
347,Emerson Palmieri,Emerson Palmieri,it ITA,DF,Chelsea,26-235,1994,2,0,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16500000
366,Christian Pulisic,Christian Pulisic,us USA,FW,Chelsea,22-189,1998,19,10,1080,12,1,1,1,0,0,2,0,0.08,0.08,0.17,0.08,0.17,2.9,2.9,1.8,4.7,0.24,0.15,0.39,0.24,0.39,55000000
396,Antonio Rüdiger,Antonio Rudiger,de GER,DF,Chelsea,28-023,1993,13,13,1170,13,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,0.02,0.02,0.04,0.02,0.04,27500000
423,Thiago Silva,Thiago Silva,br BRA,DF,Chelsea,36-185,1984,17,17,1457,16.2,2,0,2,0,0,3,0,0.12,0,0.12,0.12,0.12,0.8,0.8,0.2,1,0.05,0.01,0.06,0.05,0.06,3850000
488,Timo Werner,Timo Werner,de GER,FW,Chelsea,25-020,1996,28,23,2043,22.7,5,5,5,0,0,0,0,0.22,0.22,0.44,0.22,0.44,9.9,9.9,3.1,13,0.44,0.14,0.57,0.44,0.57,71500000
