Rk,Player,CleanPlayer,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Goalsper90,Assistper90,G+A,G-PKper90,G+A-PK,xG,npxG,xA,npxG+xA,xGoalsper90,xAssistper90,xG+xA,npxGper90,npxG+xAper90,TransferMarketvalue
74,David Button,David Button,eng ENG,GK,West Brom,32-027,1989,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
117,Mbaye Diagne,Mbaye Diagne,sn SEN,FW,West Brom,29-149,1991,9,8,727,8.1,1,1,1,0,0,1,0,0.12,0.12,0.25,0.12,0.25,3.6,3.6,0.5,4.2,0.45,0.07,0.52,0.45,0.52,
119,Grady Diangana,Grady Diangana,eng ENG,MFFW,West Brom,22-341,1998,16,14,1088,12.1,1,0,1,0,0,0,0,0.08,0,0.08,0.08,0.08,1,1,0.1,1.1,0.08,0.01,0.09,0.08,0.09,
135,Kyle Edwards,Kyle Edwards,eng ENG,MFFW,West Brom,23-037,1998,5,1,118,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.11,0,0.11,0.11,0.11,
146,Sam Field,Sam Field,eng ENG,MF,West Brom,22-322,1998,3,0,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
158,Darnell Furlong,Darnell Furlong,eng ENG,DF,West Brom,25-146,1995,26,23,2122,23.6,1,2,1,0,0,4,0,0.04,0.08,0.13,0.04,0.13,1.1,1.1,1.9,2.9,0.05,0.08,0.12,0.05,0.12,
159,Conor Gallagher,Conor Gallagher,eng ENG,MF,West Brom,21-048,2000,23,22,1972,21.9,2,2,2,0,0,8,0,0.09,0.09,0.18,0.09,0.18,1.3,1.3,0.9,2.2,0.06,0.04,0.1,0.06,0.1,
164,Kieran Gibbs,Kieran Gibbs,eng ENG,DF,West Brom,31-181,1989,10,9,809,9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.3,0.3,0.01,0.03,0.04,0.01,0.04,
172,Karlan Grant,Karlan Grant,eng ENG,FWMF,West Brom,23-189,1997,17,14,1086,12.1,1,0,1,0,0,1,0,0.08,0,0.08,0.08,0.08,2.1,2.1,0,2.1,0.18,0,0.18,0.18,0.18,
177,Kamil Grosicki,Kamil Grosicki,pl POL,FWMF,West Brom,32-291,1988,3,2,148,1.6,0,1,0,0,0,0,0,0,0.61,0.61,0,0.61,0.1,0.1,0.1,0.2,0.06,0.07,0.13,0.06,0.13,
182,Rekeem Harper,Rekeem Harper,eng ENG,MF,West Brom,21-018,2000,2,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0.12,0.12,0.12,
188,Ahmed Hegazi,Ahmed Hegazi,eg EGY,DF,West Brom,30-060,1991,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
204,Branislav Ivanović,Branislav Ivanovic,rs SRB,DF,West Brom,37-032,1984,12,8,754,8.4,0,0,0,0,0,2,0,0,0,0,0,0,0.6,0.6,0.1,0.6,0.07,0.01,0.07,0.07,0.07,
215,Sam Johnstone,Sam Johnstone,eng ENG,GK,West Brom,28-001,1993,28,28,2520,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
241,Filip Krovinović,Filip Krovinovic,hr CRO,MF,West Brom,25-209,1995,11,5,546,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,0.04,0.05,0.09,0.04,0.09,
256,Jake Livermore,Jake Livermore,eng ENG,MF,West Brom,31-132,1989,16,15,1224,13.6,0,0,0,0,0,2,1,0,0,0,0,0,0.2,0.2,0.2,0.5,0.02,0.02,0.04,0.02,0.04,
277,Ainsley Maitland-Niles,Ainsley Maitland Niles,eng ENG,MF,West Brom,23-209,1997,7,7,630,7,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.4,0.7,0.04,0.06,0.1,0.04,0.1,
337,Dara O'Shea,Dara OShea,ie IRL,DF,West Brom,22-022,1999,22,20,1803,20,0,0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.01,0.01,0.02,0.01,0.02,
351,Lee Peltier,Lee Peltier,eng ENG,DF,West Brom,34-105,1986,4,3,229,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
353,Matheus Pereira,Matheus Pereira,br BRA,MFFW,West Brom,24-325,1996,25,22,1875,20.8,5,3,3,2,2,2,1,0.24,0.14,0.38,0.14,0.29,3.8,2.3,2.9,5.1,0.18,0.14,0.32,0.11,0.25,
